aX,aY,aZ,gX,gY,gZ
0.25,0.1,-1.073,490.356,-29.358,-103.882
0.25,0.074,-0.939,484.558,-18.921,-90.576
0.226,0.116,-0.867,484.253,-9.399,-76.843
0.155,0.116,-0.749,467.957,-0.61,-67.566
0.081,0.067,-0.685,452.82,2.136,-64.026
0.031,0.003,-0.547,436.89,-0.671,-67.81
0.033,-0.02,-0.521,423.218,-6.348,-76.782
0.01,-0.082,-0.419,403.381,-17.944,-86.365
0.01,-0.152,-0.347,383.301,-29.663,-91.492
0.034,-0.223,-0.246,365.234,-39.429,-96.008
0.059,-0.302,-0.159,350.708,-46.204,-100.647
0.087,-0.381,-0.051,333.862,-50.659,-102.112
0.12,-0.455,0.074,317.993,-51.697,-99.487
0.167,-0.508,0.239,301.025,-51.88,-94.116
0.201,-0.534,0.413,283.02,-55.115,-87.341
0.208,-0.562,0.563,263.855,-61.951,-82.214
0.233,-0.611,0.738,240.417,-69.397,-79.895
0.251,-0.713,0.898,211.121,-74.768,-80.627
0.274,-0.838,1.108,183.105,-79.468,-81.238
0.264,-0.992,1.371,154.053,-79.773,-78.247
0.255,-1.118,1.712,120.85,-75.684,-70.679
0.212,-1.193,2.062,82.947,-66.895,-60.12
0.182,-1.211,2.392,38.574,-53.955,-54.077
