aX,aY,aZ,gX,gY,gZ
-0.191,0.141,-0.169,-104.065,-2.93,-101.074
-0.043,0.137,-0.295,-99.243,17.7,-72.021
0.107,0.176,-0.454,-94.727,34.973,-48.035
0.209,0.234,-0.605,-93.811,49.805,-34.058
0.236,0.299,-0.709,-94.299,56.641,-32.471
0.257,0.348,-0.785,-89.722,49.683,-40.527
0.247,0.352,-0.859,-80.261,32.593,-54.932
0.172,0.326,-0.898,-73.181,13.733,-74.89
0.13,0.289,-0.895,-70.984,-6.653,-93.14
0.107,0.243,-0.847,-72.021,-26.428,-101.868
0.078,0.177,-0.781,-72.51,-39.978,-102.6
0.086,0.111,-0.71,-71.045,-45.715,-98.511
0.075,0.074,-0.653,-66.345,-42.969,-92.773
0.055,0.052,-0.633,-58.716,-32.715,-85.999
-0.01,-0.004,-0.657,-45.166,-20.142,-76.538
0.005,-0.027,-0.677,-26.855,-10.498,-62.012
-0.042,-0.034,-0.705,-4.211,-5.31,-42.542
0.005,0.026,-0.885,14.038,2.197,-26.123
0.152,0.108,-0.83,31.738,-3.967,-12.329
0.143,0.052,-0.937,43.335,-2.38,-1.953
0.149,0.012,-0.988,39.063,9.155,-1.831
0.201,0.03,-1.005,27.954,12.085,-11.597
0.237,0.042,-0.951,19.653,7.751,-11.719
0.255,0.025,-0.904,17.517,-2.686,-6.165
0.25,0.013,-0.883,18.433,-11.047,-3.174
0.244,0.049,-0.882,23.926,-15.32,-3.54
0.2,0.129,-0.88,26.428,-17.151,-2.686
0.193,0.221,-0.884,35.217,-16.052,1.892
0.169,0.278,-0.914,54.321,-11.414,11.353
0.152,0.341,-0.977,75.867,-5.005,22.827
0.16,0.356,-1.095,96.375,2.319,32.959
0.184,0.426,-1.243,100.708,12.085,39.795
0.216,0.5,-1.379,100.769,20.325,42.358
0.205,0.522,-1.498,88.806,26.917,40.222
0.209,0.537,-1.542,75.439,26.245,34.729
0.224,0.557,-1.534,61.157,18.738,29.297
0.225,0.591,-1.496,50.537,9.155,25.146
0.214,0.612,-1.457,44.678,2.075,22.461
0.216,0.624,-1.412,43.457,-0.916,21.545
0.248,0.621,-1.412,46.204,-1.282,24.963
0.273,0.614,-1.414,44.556,3.052,30.64
0.298,0.612,-1.398,37.842,7.08,35.767
0.328,0.602,-1.364,30.945,7.751,38.818
0.364,0.595,-1.328,24.719,5.371,39.185
0.4,0.589,-1.296,18.494,1.709,36.682
0.425,0.58,-1.265,11.658,-2.197,31.128
0.416,0.571,-1.217,3.601,-6.531,23.56
0.388,0.558,-1.155,-4.028,-10.803,15.32
0.371,0.551,-1.095,-8.667,-14.221,9.399
0.36,0.552,-1.039,-11.108,-15.93,6.409
0.351,0.546,-0.994,-13.123,-15.259,4.456
0.344,0.541,-0.962,-14.282,-11.78,3.296
0.335,0.542,-0.932,-15.625,-7.629,2.991
0.331,0.557,-0.915,-16.479,-4.761,3.54
0.326,0.567,-0.914,-16.235,-3.357,4.211
0.328,0.565,-0.914,-17.09,-3.723,4.822
0.33,0.591,-0.903,-19.043,-5.798,5.066
0.339,0.612,-0.888,-21.301,-8.728,3.601
0.333,0.606,-0.868,-23.804,-11.475,0.366
0.334,0.605,-0.846,-25.94,-14.038,-2.869
0.33,0.602,-0.815,-29.114,-16.174,-6.104
0.33,0.595,-0.789,-31.921,-17.883,-8.728
0.328,0.587,-0.77,-33.691,-18.066,-10.315
